"約定日","受渡日","コード/ティッカー","銘柄名","口座区分","市場","取引","信用区分","実現損益(円)","実現損益(ドル/その他外貨)","単価(円/ドル/pt/その他外貨)","数量(株/口/枚)","売却/決済額(円)","売却/決済額(ドル)","平均取得価額(円/pt)","平均取得価額(ドル)","取得日/建日","取得/建数量(株/口)","受渡金額(円)","受渡金額(ドル)","投資額(ドル)","CFD口座","通貨","円換算レート"
"2026/02/19","2026/02/24","246A","アスア","特定","東証","売埋","一般","+1,900","-","932.0","100","93,200","-","913.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","246A","アスア","特定","東証","売埋","一般","+3,400","-","947.0","100","94,700","-","913.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","JAX","買埋","一般","+2,300","-","3,002.5","200","600,500","-","3,014.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","買埋","一般","+100","-","3,007.0","100","300,700","-","3,008.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","買埋","一般","+100","-","3,007.0","100","300,700","-","3,008.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","買埋","一般","+300","-","2,994.5","100","299,450","-","2,997.50","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","買埋","一般","+600","-","2,994.5","200","598,900","-","2,997.50","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","売埋","一般","-700","-","2,979.0","100","297,900","-","2,986.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","売埋","一般","-700","-","2,979.0","100","297,900","-","2,986.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","買埋","一般","+500","-","2,967.5","200","593,500","-","2,970.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","JAX","売埋","一般","+1,300","-","2,965.0","200","593,000","-","2,958.50","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","売埋","一般","-500","-","2,959.0","100","295,900","-","2,964.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","売埋","一般","-500","-","2,959.0","100","295,900","-","2,964.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","売埋","一般","-1,940","-","2,950.0","100","295,000","-","2,969.40","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","売埋","一般","-1,930","-","2,950.0","100","295,000","-","2,969.30","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","買埋","一般","+400","-","2,958.0","200","591,600","-","2,960.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","買埋","一般","-4,000","-","2,964.0","200","592,800","-","2,944.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","買埋","一般","-700","-","2,942.0","100","294,200","-","2,935.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","買埋","一般","-1,400","-","2,942.0","200","588,400","-","2,935.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","買埋","一般","-700","-","2,942.0","100","294,200","-","2,935.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","買埋","一般","-450","-","2,936.5","100","293,650","-","2,932.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","買埋","一般","-450","-","2,936.5","100","293,650","-","2,932.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","買埋","一般","+2,600","-","2,910.5","200","582,100","-","2,923.50","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","買埋","一般","+3,300","-","2,903.5","200","580,700","-","2,920.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","JAX","買埋","一般","-450","-","2,903.0","100","290,300","-","2,898.50","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","JAX","買埋","一般","-450","-","2,903.0","100","290,300","-","2,898.50","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","東証","売埋","一般","-1,000","-","2,916.0","200","583,200","-","2,921.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","JAX","売埋","一般","-770","-","2,914.1","100","291,410","-","2,921.80","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","JAX","売埋","一般","-780","-","2,914.1","100","291,410","-","2,921.90","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","4506","住友ファーマ","特定","JAX","売埋","一般","-1,400","-","2,906.0","200","581,200","-","2,913.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","6227","ＡＩメカテック","特定","東証","売埋","一般","-5,000","-","19,010.0","100","1,901,000","-","19,060.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","6227","ＡＩメカテック","特定","東証","売埋","一般","+1,000","-","19,020.0","100","1,902,000","-","19,010.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","9338","ＩＮＦＯＲＩＣＨ","NISA","市場外","売付","-","+25,250","-","4,550.0","10","45,500","-","2,025.00","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","9501","東京電力ＨＤ","特定","JAX","売埋","一般","-1,400","-","719.7","1,000","719,700","-","721.10","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","9501","東京電力ＨＤ","特定","JAX","売埋","一般","-1,000","-","719.8","500","359,900","-","721.80","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","9501","東京電力ＨＤ","特定","東証","売埋","一般","-1,320","-","717.4","300","215,220","-","721.80","-","-","-","-","-","-","-","-","-"
"2026/02/19","2026/02/24","9501","東京電力ＨＤ","特定","東証","売埋","一般","-880","-","717.4","200","143,480","-","721.80","-","-","-","-","-","-","-","-","-"
